id_camada,tema,arquivo,fonte_id,versao,crs,data_producao,sha256,status_conferencia,referencias_bib,licenca,pode_publicar,observacoes
limite_municipal,limites,data/acervo/limites/limite-municipal_ibge_2025_municipal.gpkg,ibge_malhas_municipais,1.0,EPSG:31981,2026-09-20,a5618d27fbe6c72ac4ec4bf2976898a479fe4af83bf45052148cea82306cba20,conferido,,dados abertos (uso livre com citação da fonte),true,nome: Limite municipal de Bagé. Cópia publicada no geoportal: data/geoportal/limite_municipal.geojson (EPSG:4326). MIGRAÇÃO: arquivo movido de data/processed/limite-municipal_ibge_2025_municipal.gpkg; o sha256 aqui é o do GeoPackage e NÃO é estável entre execuções (o formato grava last_change em gpkg_contents). --- conferência --- Conferido visualmente no mapa em 2026-09-20. --- fim da conferência ---
geoinfo_filesgeojsongeobage_aerodromos,viario,data/externos/geoinformacao_bage/filesGeoJSONgeobage/AERODROMOS.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4326,2026-09-20,601048d3c26d79eee11fabca894081bbbabdff3ebea06728efc6de9fe40eee9c,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit). Tema aproximado — infraestrutura aeroportuária; 'viario' é a pasta de transporte."
geoinfo_filesgeojsongeobage_bage,limites,data/externos/geoinformacao_bage/filesGeoJSONgeobage/BAGE.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,7ae31e3691c49f71cc6699546bd41c608baef43a791c4cf15da75bbcc115ad64,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_bancos_de_areia_arroio_bage,hidrografia,data/externos/geoinformacao_bage/filesGeoJSONgeobage/BANCOS_DE_AREIA_ARROIO_BAGE.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,863c16b1868c3ddb231d296f998552feeb63aae4293aa9fa86e11bb405432279,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_banhados,ambiental,data/externos/geoinformacao_bage/filesGeoJSONgeobage/BANHADOS.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,a9ecb1ae13a8bdc3e263c1e5945509b94fe2d6cb5e5bca2f497a4a84d7657585,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_barragem,hidrografia,data/externos/geoinformacao_bage/filesGeoJSONgeobage/BARRAGEM.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,bce686b8069ea638769e374b69736e66804c94af8b1721388e8a911615e3759f,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_compreb,cadastro,data/externos/geoinformacao_bage/filesGeoJSONgeobage/COMPREB.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4326,2026-09-20,ddcbe93ffa6c00515f6f8a52a6d0721541e7f417e643fcb5afde1121df34d72c,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_curvas_nivel,ambiental,data/externos/geoinformacao_bage/filesGeoJSONgeobage/CURVAS_NIVEL.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,126533274aae79365613071381d9096aef63630f0d3305374181ece05a48ca28,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit). Tema aproximado — altimetria; sem tema de relevo no acervo."
geoinfo_filesgeojsongeobage_distritos_de_bage,limites,data/externos/geoinformacao_bage/filesGeoJSONgeobage/DISTRITOS_DE_BAGE.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,36d2f46222b1a3363b1d466a9287ef4eecebc1379ab90582d761711599b6d51b,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
geoinfo_filesgeojsongeobage_estradas_rurais_de_bage,viario,data/externos/geoinformacao_bage/filesGeoJSONgeobage/ESTRADAS_RURAIS_DE_BAGE.geojson,geoinfo_filesgeojsongeobage,dec1290,EPSG:4674,2026-09-20,25a31c98855b44ce2e05c5effaa2478ba35e6dd1a762bfb1ac5f5d529cd68e63,pendente,,indefinida — repositório de origem sem arquivo LICENSE,false,"USO INTERNO EM PESQUISA — sem autorização da fonte para republicação; repositório público, por isso pode_publicar=false e o arquivo fica fora do git (data/externos/, barrado pelo .gitignore e pelo hook de pre-commit)."
