id_norma,tipo,numero,ano,data,ementa,assunto,arquivo,sha256,situacao,observacoes
lei_1762_1973,lei,1762,1973,1973-12-17,,plano diretor (1973); zoneamento urbano; sistema viário,data/raw/legislacao/bage/LEI MUNICIPAL 1.762 de 17-12-1973_institui o plano diretor_.pdf,409ae105e09978d018d7333611b9b35e01d30fff3b2b59215ed155d6931266b8,revogada,"PDF SEM cabeçalho nem ementa: começa na fórmula de promulgação. Ementa deixada em branco. Número e data conferidos pelo fecho ('17 de dezembro de 1973') e pela remissão da Lei 2.786/91 ('Lei Municipal nº 1.762, de 17.12.73'); o nome do arquivo diz 'institui o plano diretor' e o art. 1º: 'Fica instituído o Plano Diretor da Cidade de Bagé'. Situação: revogada pelo art. 192 da LC 025/2007 (texto da LC 025 neste acervo). Texto compilado com as alterações das Leis 1.942/77, 2.079/80, 2.099/80, 2.136/81, 2.171/81, 2.379/86, 2.645-A/89, 2.723/91 e 2.786/91. Zonas (art. 7º): ZRC, ZR-1 a ZR-4, ZRE-1, ZRE-2, ZREC, ZV, ZI-1 a ZI-3, ZPC. Cita plantas anexas (nº 27 e 28) que NÃO estão no PDF. texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2718_1991,lei,2718,1991,1991-05-20,Declara Patrimônio Cultural Histórico do Município o Prédio da Antiga Usina Elétrica de Bagé.,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 2718_91.pdf,f353e64b734027952ba72556ca1b10f8010b99d660664ce19f4793eff35ce040,,"Promulgada pela Câmara (sanção tácita). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2734_1991,lei,2734,1991,1991-07-01,Declara Patrimônio Histórico e Cultural do Município o prédio do INSTITUTO MUNICIPAL DE BELAS ARTES,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 2734_91.pdf,73275e17fd6ebb5cd4eb7210eb7ce7c1ae3e91389b43b5b6de5bafe27f1c9435,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2786_1991,lei,2786,1991,1991-12-16,"Emenda a Lei Municipal nº 1.762, de 17.12.73, em seu art. 7º e cria a Zona de Proteção ao Patrimônio Cultural do Município de Bagé.","patrimônio — zona de proteção (ZPC, entorno da Catedral de São Sebastião); zoneamento",data/raw/legislacao/bage/LEI MUNICIPAL Nº 2786_91_entorno catedral São Sebastião_.pdf,7b308a0b6171266e8181a452d4912047e76906d380b80fa9b3180232187120cf,,"Perímetro da ZPC descrito por 4 vértices (Av. Gen. Osório, Rua Dr. Veríssimo, Rua Barão do Amazonas, Rua Gen. João Manoel). A LC 025/2007, art. 57 §3º, 'mantém' esta zona — situação não preenchida porque o próprio texto não a declara. texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2808_1992,lei,2808,1992,1992-01-16,"Declara Patrimônio Cultural Histórico do Município, os dois edifícios e o jardim da Hidráulica Municipal de Bagé.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 2808_92.pdf,0b6182e5974396d2526e2986927c9d039cccbcc761e2b9148a4fd53ce751fdf4,,"Promulgada pela Câmara (sanção tácita). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2839_1992,lei,2839,1992,1992-05-14,"Dispõe sobre a criação do Conselho Municipal de Preservação do Patrimônio Histórico, Cultural e Ambiental do Município de Bagé.","patrimônio — conselho (COMPREB), sistema e processo de tombamento, fundo (FUNCAB)",data/raw/legislacao/bage/LEI MUNICIPAL Nº 2839_92-Conselho municipal de preservação.pdf,3c7bd4c01cde8f1996379ba48d495519d5ce603515994c543d2e04f3274185fd,,"Promulgada pela Câmara (sanção tácita). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2941_1993,lei,2941,1993,1993-06-22,"Declara patrimônio histórico e cultural do Município os prédios pertencentes ao conjunto conhecido historicamente como ""Antigo Seminário de Santa Tereza"", de propriedade da RFFSA.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 2941_93_nova redação com a 3079_94_.pdf,ebbe65c84b48a96fc7cad76bef28f97af7b4db5efb8b66abdfcd24be30ee39b9,alterada,"Ementa e art. 1º com a redação da Lei 3.079/94 (o texto diz isso). texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_2946_1993,lei,2946,1993,1993-07-02,"Declara Patrimônio Histórico e Cultural do Município o prédio localizado na avenida Sete de Setembro, número 1051, de propriedade do Clube Comercial.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 2946_93.pdf,adaa51b9f0ce93954d699ef5210cd2622fda7f8c430ab7d662e94af2a49a2219,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3035_1993,lei,3035,1993,1993-11-19,Declara Patrimônio Histórico e Cultural do Município o prédio do Clube Caixeral.,patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3035_93.pdf,04dfdcb8af85651f2cd7a00a6a585649d31dab4297e04998b653182ae5487617,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
lei_3037_1993,lei,3037,1993,1993-11-24,"Declara Patrimônio Histórico e Cultural do Município, os prédios onde funcionou o Banco Nacional do Comércio e da Sociedade Espanhola.",patrimônio — declaração/tombamento de bem,data/raw/legislacao/bage/LEI MUNICIPAL Nº 3037_93.pdf,3897c7691a8ebed277fde8a3d76626e7f40707b6a2f0b86dbd81b1342cc8f169,,"texto compilado de 2009 (PDF de 02/10/2009 gerado de .doc), não a publicação oficial; cabeçalho lido na camada de texto do PDF"
